"miRNA_reject","adj_pvalues","mu_hat","sd","statistic","regulate"
"hsa-miR-106b",6.59908355689439e-05,0.328558836689627,0.806758659434144,3.99029618565977,"Up"
"hsa-miR-151-5p",1.6353210423481e-07,0.293602462417457,0.549342428692046,5.2366333462337,"Up"
"hsa-miR-3200-3p",1.64159035306931e-05,0.158354770245646,0.360091315601347,4.30877800859739,"Up"
"hsa-miR-431",4.01008601501002e-06,0.175273126311184,0.372450973970264,4.61085893274171,"Up"
"hsa-miR-484",1.02597784384246e-05,0.167323796377176,0.371616300512486,4.41162481176644,"Up"
"hsa-miR-3665",1.92032337401456e-06,-0.346867060003497,0.713744417037617,-4.76163335393567,"Down"
"hsa-miR-4317",5.14643527516545e-05,0.0884985229613246,0.214159446816723,4.0488753116876,"Up"
"hsa-miR-376c",1.7519157717276e-07,0.502199383835991,0.941925980119626,5.22390194347146,"Up"
"hsa-miR-645",3.22168506008852e-06,0.0938456568851062,0.197479632805906,4.65615558786765,"Up"
"hsa-let-7a",2.5963450604919e-09,-0.369652992481894,0.608174217341921,-5.95527523301403,"Down"
"hsa-miR-574-5p",2.41468685152674e-05,-0.277143846864023,0.643069468088084,-4.22262939764329,"Down"
"hsa-miR-107",1.74551686283558e-06,0.300205968008771,0.615246871185222,4.78085447516822,"Up"
"hsa-miR-744",1.70481780699837e-05,-0.128220878320747,0.292135556882743,-4.3004108039253,"Down"
"hsa-miR-1183",3.6035205328354e-06,-0.177452062013468,0.37527664849519,-4.63303013902592,"Down"
"hsa-miR-711",2.04575387493244e-06,-0.0993580172124029,0.204998163830812,-4.74885119899742,"Down"
"hsa-miR-513c",2.65012167441219e-05,0.389153046288597,0.907484717107702,4.20161960763298,"Up"
"hsa-miR-126*",1.41743700989232e-07,-0.274130489037983,0.510342504313709,-5.26297390796919,"Down"
"hsa-miR-132",1.05018580804852e-09,-0.282801498471009,0.454123851255626,-6.10158984455998,"Down"
"hsa-miR-1276",1.9147413789049e-05,-0.047235348005629,0.108269585159508,-4.27460769397512,"Down"
"hsa-miR-23b*",7.78186756867834e-06,0.0891899191939212,0.195450643383808,4.47109896274242,"Up"
"hsa-miR-22*",2.00217823802437e-05,0.190634026402616,0.437978581400636,4.26464774423772,"Up"
"hsa-miR-4294",8.40186541810367e-08,-0.0853981166814814,0.156155982154475,-5.35827851045398,"Down"
"hsa-miR-4298",9.3825952963283e-06,-0.284262273879511,0.628578604256796,-4.43093366151944,"Down"
"hsa-miR-361-5p",7.03460776272253e-09,0.297352081775622,0.503177035943109,5.79009630627867,"Up"
"hsa-miR-103a",1.48067411881168e-09,0.410671294755169,0.665470988691677,6.0464551648507,"Up"
"hsa-miR-125a-3p",5.70334249169657e-09,0.220467423044213,0.370823150986269,5.82523167637542,"Up"
"hsa-miR-874",2.71410376942474e-05,-0.172635352454212,0.403095014732042,-4.19621686821858,"Down"
"hsa-miR-100",7.45467125299334e-08,0.731175356197824,1.33163977341812,5.37985293300505,"Up"
"hsa-miR-23a",5.73657478307397e-05,0.336189592971588,0.818705047668675,4.0233926098749,"Up"
"hsv1-miR-H16",1.53506865011716e-05,0.115549740690223,0.261854214215187,4.32359517986388,"Up"
"hsa-miR-152",2.01594097422648e-12,0.484833539698421,0.675405188489164,7.03337672075106,"Up"
"hsa-miR-431",2.0614145453692e-05,0.0820103046868948,0.188705621053749,4.258132831684,"Up"
